id_str,text
"530702845012869120","RT @onedirection: The #FOURTAKEOVER unlocked #ReadyToRun! If you’ve pre-ordered the deluxe album on @iTunesMusic then get it now! http://t.…"
"530702844496982016","@MBTA any thought of parterning with #Apple to get the Charlie Card in #Passbook? Would love to tap my phone to get on the T! #21stCentury"
"530702842613338113","The apple doesn't fall far from the tree:  Michael Brown’s mom may face robbery charges: report - NY Daily News http://t.co/gUg4sNXt01"
"530702841972027393","RT to help @WholesomeWave charity #Farm4Good w/ @NakedJuice &amp; @FarmVille2. Play: http://t.co/NCdiaeFBmf http://t.co/yBbBdSM8Nb"
"530703606698508288","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530703606060969984","Go get #SomethingBig !!! LETS GET IT TO NUMBER ONE #SomethingBigToNumberOne http://t.co/Izas0iGyMH @shawnmendes x12"
"530703605460762624","RT @IntThings: peeling apple like a boss.. http://t.co/VFV6dx5NNn"
"530703604311949312","RT @onedirection: #NightChanges is gonna be the next single from #FOUR: http://t.co/6mXo3EyvY3 http://t.co/beeBCNbNfD"
"530703604169330688","RT @ohsosel: Pre-order “For You” and get Selena's NEW single “The Heart Wants What It Wants” instantly! http://t.co/0qHxVHOctv ❤️❤️❤️❤️❤️"
"530703603737313281","RT @AaronCarpenter: also check out my dude @JacobWhitesides 's new single😜
https://t.co/QCLNKh7q8a"
"530703603049447424","BRAND NEW! Apple iPad Air 128GB, Wi-Fi + Cellular (Unlocked) Space Gray http://t.co/zqx2FOxyte #iPadAir"
"530703602730274816","Enter to win a dream Apple desktop setup. Enter here... https://t.co/YAmhYMTfnE via @StackSocial"
"530703601958932480","RT @HowItWorksmag: Want to #win this Bluetooth keyboard for your Apple or Android devices? Simple follow us &amp; RT this message to enter! htt…"
"530703601719840768","RT @JacobWhitesides: 15 minutes doe #WordsOniTunesTonight  https://t.co/g9rjl2mLvW"
"530703601539117056","I've given so much to charity this year .. Another reason this has been the Best year of my life .. Besides for all the other great things ."
"530703601354551296","The Hunger Games: Panem Rising - Kabam http://t.co/fgR63pQyfv #iphonegames #free"
"530703601061330944","Download 'Something Big' by @ShawnMendes here&gt;http://t.co/SkGmc6li7K
Leave a review and rate 5 stars😏🙏
#SomethingBigToNumber1 x48"
"530703600876388353","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530703600301785088","RT @AppIeOfficiel: Apple iGLASS  📱  http://t.co/d2vCOCOTqt"
"530704363178950656","RT @ShawnMendes: Lets do this ! #SomethingBigToNumber1 spread it around your school today and tell all of your friends to buy ! http://t.co…"
"530704363044741120","I've found the rare item 'Rare Stamp' in Auction Wars : Storage King! What can you find? https://t.co/iMjXbPIIXJ"
"530704362180313088","I'm earning #mPOINTS with #ShootDaBird ! http://t.co/LywkKNUlGn"
"530704361698390016","RT @ShawnMendes: Who's still up with me !? Lets keep this up #SomethingBigToNumber1 - every purchase counts ! http://t.co/IVJT5qUf4V http:/…"
"530704361090203649","RT @onedirection: So - thoughts on #ReadyToRun from #FOUR? http://t.co/6mXo3EyvY3"
"530704360855330816","RT @HowItWorksmag: Want to #win this Bluetooth keyboard for your Apple or Android devices? Simple follow us &amp; RT this message to enter! htt…"
